Action,Data,Expected Result
用chrome-devtools打开http://www.qianwen.com,,
输入 Return value field of JSON format. Provide the United States CPI (All items) year-over-year percentage for Mar. Use keys: value
回车
读取 class='token' 是value值的下一个class='token' 的值,,data.json
